S.No.,HSCode,Commodity,2021-2022,2022-2023,%Growth
52,55,MAN-MADE STAPLE FIBRES.,9165.35,16641.43,81.57
53,56,"WADDING, FELT AND NONWOVENS; SPACIAL YARNS; TWINE, CORDAGE, ROPES AND CABLES AND ARTICLES THEREOF.",5110.8,5473.62,7.1
54,57,CARPETS AND OTHER TEXTILE FLOOR COVERINGS.,67.83,101.31,49.35
55,58,SPECIAL WOVEN FABRICS; TUFTED TEXTILE FABRICS; LACE; TAPESTRIES; TRIMMINGS; EMBROIDERY.,2758.54,2980.04,8.03
56,59,"IMPREGNATED, COATED, COVERED OR LAMINATED TEXTILE FABRICS; TEXTILE ARTICLES OF A KIND SUITABLE FOR INDUSTRIAL USE.",2625.51,2833.89,7.94
57,60,KNITTED OR CROCHETED FABRICS.,2082.41,1680.11,-19.32
58,61,"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, KNITTED OR CORCHETED.",2132.48,3330.91,56.2
59,62,"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, NOT KNITTED OR CROCHETED.",2311.96,2994.41,29.52
60,63,OTHER MADE UP TEXTILE ARTICLES; SETS; WORN CLOTHING AND WORN TEXTILE ARTICLES; RAGS,1438.61,1855.83,29
61,64,"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES.",1841.11,2629.99,42.85
62,65,HEADGEAR AND PARTS THEREOF.,17.39,58.27,235.12
63,66,"UMBRELLAS, SUN UMBRELLAS, WALKING-STICKS, SEAT-STICKS, WHIPS,RIDING-CROPS AND PARTS THEREOF.",0.59,0.08,-86.88
64,67,PREPARED FEATHERS AND DOWN AND ARTICLES MADE OF FEATHERS OR OF DOWN; ARTIFICIAL FLOWERS; ARTICLES OF HUMAN HAIR.,3810.18,6145.4,61.29
65,68,"ARTICLES OF STONE, PLASTER, CEMENT, ASBESTOS, MICA OR SIMILAR MATERIALS.",11375.6,13853.07,21.78
66,69,CERAMIC PRODUCTS.,39320.68,35336.62,-10.13
67,70,GLASS AND GLASSWARE.,9786.9,10728.1,9.62
68,71,"NATURAL OR CULTURED PEARLS,PRECIOUS OR SEMIPRECIOUS STONES,PRE.METALS,CLAD WITH PRE.METAL AND ARTCLS THEREOF;IMIT.JEWLRY;COIN.",12583.4,16618.44,32.07
69,72,IRON AND STEEL,483190.61,311782.6,-35.47
70,73,ARTICLES OF IRON OR STEEL,44189.84,120643.76,173.01
71,74,COPPER AND ARTICLES THEREOF.,14880.19,15824.28,6.34
72,75,NICKEL AND ARTICLES THEREOF.,693.18,1106.67,59.65
73,76,ALUMINIUM AND ARTICLES THEREOF.,32737.52,40414.26,23.45
74,78,LEAD AND ARTICLES THEREOF.,2366.2,2764.81,16.85
75,79,ZINC AND ARTICLES THEREOF.,54562.58,92716.81,69.93
76,80,TIN AND ARTICLES THEREOF.,8.79,8.54,-2.89
77,81,OTHER BASE METALS; CERMETS; ARTICLES THEREOF.,204.79,228.23,11.45
78,82,"TOOLS IMPLEMENTS, CUTLERY, SPOONS AND FORKS, OF BASE METAL; PARTS THEREOF OF BASE METAL.",7825.6,11014.78,40.75
79,83,MISCELLANEOUS ARTICLES OF BASE METAL.,7410.14,7694.81,3.84
80,84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICAL APPLIANCES; PARTS THEREOF.",273550.98,363574.94,32.91
81,85,"ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THEREOF; SOUND RECORDERS AND REPRODUCERS, TELEVISION IMAGE AND SOUND RECORDERS AND REPRODUCERS,AND PARTS.",88481.87,123185.05,39.22
82,86,"RAILWAY OR TRAMWAY LOCOMOTIVES, ROLLING-STOCK AND PARTS THEREOF; RAILWAY OR TRAMWAY TRACK FIXTURES AND FITTINGS AND PARTS THEREOF; MECHANICAL",2914.79,2972.95,2
83,87,"VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STOCK, AND PARTS AND ACCESSORIES THEREOF.",324852.05,630376.52,94.05
84,88,"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",6670.9,2155.8,-67.68
85,89,"SHIPS, BOATS AND FLOATING STRUCTURES.",191801.49,316045.11,64.78
86,90,"OPTICAL, PHOTOGRAPHIC CINEMATOGRAPHIC MEASURING, CHECKING PRECISION, MEDICAL OR SURGICAL INST. AND APPARATUS PARTS AND ACCESSORIES THEREOF;",38875.54,46521,19.67
87,91,CLOCKS AND WATCHES AND PARTS THEREOF.,16.6,16.94,2.03
88,92,MUSICAL INSTRUMENTS; PARTS AND ACCESSORIES OF SUCH ARTICLES.,2452.91,2348.66,-4.25
89,94,"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS, CUSHIONS AND SIMILAR STUFFED FURNISHING; LAMPS AND LIGHTING FITTINGS NOT ELSEWHERE SPECIFIED OR INC",7835.7,8847.17,12.91
90,95,"TOYS, GAMES AND SPORTS REQUISITES; PARTS AND ACCESSORIES THEREOF.",292.37,398.38,36.26
91,96,MISCELLANEOUS MANUFACTURED ARTICLES.,8218.96,10777.83,31.13
92,97,WORKS OF ART COLLECTORS' PIECES AND ANTIQUES.,3.8,3.11,-18.04
93,98,PROJECT GOODS; SOME SPECIAL USES.,35.58,230.25,547.11
94,99,MISCELLANEOUS GOODS.,1.17,0.55,-52.97

