S.No.,HSCode,Commodity,2021-2022,2022-2023,%Growth
51,53,OTHER VEGETABLE TEXTILE FIBRES; PAPER YARN AND WOVEN FABRICS OF PAPER YARN.,4950.79,5111.91,3.25
52,54,MAN-MADE FILAMENTS.,6610.62,9215.67,39.41
53,55,MAN-MADE STAPLE FIBRES.,9671.55,7116.19,-26.42
54,56,"WADDING, FELT AND NONWOVENS; SPACIAL YARNS; TWINE, CORDAGE, ROPES AND CABLES AND ARTICLES THEREOF.",5205,3834.21,-26.34
55,57,CARPETS AND OTHER TEXTILE FLOOR COVERINGS.,43325.09,31805.2,-26.59
56,58,SPECIAL WOVEN FABRICS; TUFTED TEXTILE FABRICS; LACE; TAPESTRIES; TRIMMINGS; EMBROIDERY.,8204.21,11161.56,36.05
57,59,"IMPREGNATED, COATED, COVERED OR LAMINATED TEXTILE FABRICS; TEXTILE ARTICLES OF A KIND SUITABLE FOR INDUSTRIAL USE.",265.6,356.2,34.11
58,60,KNITTED OR CROCHETED FABRICS.,301.6,419.3,39.02
59,61,"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, KNITTED OR CORCHETED.",215806.97,244150.16,13.13
60,62,"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, NOT KNITTED OR CROCHETED.",256306.06,314346.27,22.64
61,63,OTHER MADE UP TEXTILE ARTICLES; SETS; WORN CLOTHING AND WORN TEXTILE ARTICLES; RAGS,135702.77,126056.69,-7.11
62,64,"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES.",112951.73,126155.68,11.69
63,65,HEADGEAR AND PARTS THEREOF.,927.17,1125.05,21.34
64,66,"UMBRELLAS, SUN UMBRELLAS, WALKING-STICKS, SEAT-STICKS, WHIPS,RIDING-CROPS AND PARTS THEREOF.",40.43,661.13,1535.06
65,67,PREPARED FEATHERS AND DOWN AND ARTICLES MADE OF FEATHERS OR OF DOWN; ARTIFICIAL FLOWERS; ARTICLES OF HUMAN HAIR.,742.88,801.82,7.93
66,68,"ARTICLES OF STONE, PLASTER, CEMENT, ASBESTOS, MICA OR SIMILAR MATERIALS.",35044.08,30036.68,-14.29
67,69,CERAMIC PRODUCTS.,8638.64,9673.83,11.98
68,70,GLASS AND GLASSWARE.,24439.52,24164.19,-1.13
69,71,"NATURAL OR CULTURED PEARLS,PRECIOUS OR SEMIPRECIOUS STONES,PRE.METALS,CLAD WITH PRE.METAL AND ARTCLS THEREOF;IMIT.JEWLRY;COIN.",179257.35,267809.39,49.4
70,72,IRON AND STEEL,44665.06,40921.1,-8.38
71,73,ARTICLES OF IRON OR STEEL,117216.19,128863.07,9.94
72,74,COPPER AND ARTICLES THEREOF.,6887.73,6376.22,-7.43
73,75,NICKEL AND ARTICLES THEREOF.,1315.38,1263.87,-3.92
74,76,ALUMINIUM AND ARTICLES THEREOF.,18102.79,26920.35,48.71
75,78,LEAD AND ARTICLES THEREOF.,,1.82,
76,79,ZINC AND ARTICLES THEREOF.,104.69,334.7,219.69
77,80,TIN AND ARTICLES THEREOF.,0.96,0.04,-95.96
78,81,OTHER BASE METALS; CERMETS; ARTICLES THEREOF.,4902.33,4209.25,-14.14
79,82,"TOOLS IMPLEMENTS, CUTLERY, SPOONS AND FORKS, OF BASE METAL; PARTS THEREOF OF BASE METAL.",17474.76,15274.06,-12.59
80,83,MISCELLANEOUS ARTICLES OF BASE METAL.,7503.31,7826.94,4.31
81,84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICAL APPLIANCES; PARTS THEREOF.",517877.13,787386.13,52.04
82,85,"ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THEREOF; SOUND RECORDERS AND REPRODUCERS, TELEVISION IMAGE AND SOUND RECORDERS AND REPRODUCERS,AND PARTS.",511624.36,566501.17,10.73
83,86,"RAILWAY OR TRAMWAY LOCOMOTIVES, ROLLING-STOCK AND PARTS THEREOF; RAILWAY OR TRAMWAY TRACK FIXTURES AND FITTINGS AND PARTS THEREOF; MECHANICAL",4038.41,3190.55,-20.99
84,87,"VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STOCK, AND PARTS AND ACCESSORIES THEREOF.",142089.23,172301.15,21.26
85,88,"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",147911.71,154001.73,4.12
86,89,"SHIPS, BOATS AND FLOATING STRUCTURES.",35.27,18.98,-46.2
87,90,"OPTICAL, PHOTOGRAPHIC CINEMATOGRAPHIC MEASURING, CHECKING PRECISION, MEDICAL OR SURGICAL INST. AND APPARATUS PARTS AND ACCESSORIES THEREOF;",167182.62,232875.11,39.29
88,91,CLOCKS AND WATCHES AND PARTS THEREOF.,2011.89,2036.95,1.25
89,92,MUSICAL INSTRUMENTS; PARTS AND ACCESSORIES OF SUCH ARTICLES.,1031.32,1665.58,61.5
90,93,ARMS AND AMMUNITION; PARTS AND ACCESSORIES THEREOF.,13568.48,28992.27,113.67
91,94,"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS, CUSHIONS AND SIMILAR STUFFED FURNISHING; LAMPS AND LIGHTING FITTINGS NOT ELSEWHERE SPECIFIED OR INC",113332.56,88304.07,-22.08
92,95,"TOYS, GAMES AND SPORTS REQUISITES; PARTS AND ACCESSORIES THEREOF.",10594.65,9640.57,-9.01
93,96,MISCELLANEOUS MANUFACTURED ARTICLES.,3730.18,3417.22,-8.39
94,97,WORKS OF ART COLLECTORS' PIECES AND ANTIQUES.,191.42,34356.5,17848.7
95,98,PROJECT GOODS; SOME SPECIAL USES.,248.1,94.22,-62.02
96,99,MISCELLANEOUS GOODS.,13.87,2.95,-78.75
