S.No.,HSCode,Commodity,2021-2022,2022-2023,%Growth
51,51,"WOOL, FINE OR COARSE ANIMAL HAIR, HORSEHAIR YARN AND WOVEN FABRIC.",1536.38,2164.13,40.86
52,52,COTTON.,91962.98,96609.1,5.05
53,53,OTHER VEGETABLE TEXTILE FIBRES; PAPER YARN AND WOVEN FABRICS OF PAPER YARN.,7515.42,7461.53,-0.72
54,54,MAN-MADE FILAMENTS.,132887.72,161245.69,21.34
55,55,MAN-MADE STAPLE FIBRES.,54458.16,87960.56,61.52
56,56,"WADDING, FELT AND NONWOVENS; SPACIAL YARNS; TWINE, CORDAGE, ROPES AND CABLES AND ARTICLES THEREOF.",20646.19,24905.05,20.63
57,57,CARPETS AND OTHER TEXTILE FLOOR COVERINGS.,32718.31,37129.81,13.48
58,58,SPECIAL WOVEN FABRICS; TUFTED TEXTILE FABRICS; LACE; TAPESTRIES; TRIMMINGS; EMBROIDERY.,16725.79,19664.33,17.57
59,59,"IMPREGNATED, COATED, COVERED OR LAMINATED TEXTILE FABRICS; TEXTILE ARTICLES OF A KIND SUITABLE FOR INDUSTRIAL USE.",19033.54,23811.82,25.1
60,60,KNITTED OR CROCHETED FABRICS.,5724.92,7340.6,28.22
61,61,"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, KNITTED OR CORCHETED.",678299.01,560694.83,-17.34
62,62,"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, NOT KNITTED OR CROCHETED.",678898.42,426853.39,-37.13
63,63,OTHER MADE UP TEXTILE ARTICLES; SETS; WORN CLOTHING AND WORN TEXTILE ARTICLES; RAGS,189858.07,173561.22,-8.58
64,64,"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES.",54255.7,67740.26,24.85
65,65,HEADGEAR AND PARTS THEREOF.,3206.94,3603.59,12.37
66,66,"UMBRELLAS, SUN UMBRELLAS, WALKING-STICKS, SEAT-STICKS, WHIPS,RIDING-CROPS AND PARTS THEREOF.",57.66,247.44,329.17
67,67,PREPARED FEATHERS AND DOWN AND ARTICLES MADE OF FEATHERS OR OF DOWN; ARTIFICIAL FLOWERS; ARTICLES OF HUMAN HAIR.,3359.43,2042.83,-39.19
68,68,"ARTICLES OF STONE, PLASTER, CEMENT, ASBESTOS, MICA OR SIMILAR MATERIALS.",62260.16,72181.98,15.94
69,69,CERAMIC PRODUCTS.,98816.41,122673.81,24.14
70,70,GLASS AND GLASSWARE.,35403.28,50010.64,41.26
71,71,"NATURAL OR CULTURED PEARLS,PRECIOUS OR SEMIPRECIOUS STONES,PRE.METALS,CLAD WITH PRE.METAL AND ARTCLS THEREOF;IMIT.JEWLRY;COIN.",3696386.76,4647993,25.74
72,72,IRON AND STEEL,1232249.91,839925.61,-31.84
73,73,ARTICLES OF IRON OR STEEL,310865.9,376487.21,21.11
74,74,COPPER AND ARTICLES THEREOF.,46082.97,53637.93,16.39
75,75,NICKEL AND ARTICLES THEREOF.,4959,6623.16,33.56
76,76,ALUMINIUM AND ARTICLES THEREOF.,96335.12,84807.16,-11.97
77,78,LEAD AND ARTICLES THEREOF.,21489.02,33150.27,54.27
78,79,ZINC AND ARTICLES THEREOF.,140273.4,108933.19,-22.34
79,80,TIN AND ARTICLES THEREOF.,5106.04,2394.52,-53.1
80,81,OTHER BASE METALS; CERMETS; ARTICLES THEREOF.,3480.92,301.7,-91.33
81,82,"TOOLS IMPLEMENTS, CUTLERY, SPOONS AND FORKS, OF BASE METAL; PARTS THEREOF OF BASE METAL.",59409.66,54208.53,-8.75
