S.No.,Country,2021-2022,%Share,2022-2023,%Share,%Growth
96,INDONESIA,6319650.22,2.0081,8033518.43,2.2183,27.12
97,IRAN,1083117.95,0.3442,1327244.14,0.3665,22.54
98,IRAQ,1796957.8,0.571,2177664.26,0.6013,21.19
99,IRELAND,513013.07,0.163,467244.12,0.129,-8.92
100,ISRAEL,3577045.79,1.1366,6827425.31,1.8852,90.87
101,ITALY,6095957.44,1.9371,6976287.42,1.9263,14.44
102,JAMAICA,60088.9,0.0191,70520.75,0.0195,17.36
103,JAPAN,4604198.92,1.463,4383430.4,1.2104,-4.79
104,JORDAN,662510,0.2105,1721009.69,0.4752,159.77
105,KAZAKHSTAN,175648.15,0.0558,349939.77,0.0966,99.23
106,KENYA,1962269.11,0.6235,2628344.06,0.7258,33.94
107,KIRIBATI REP,1223.48,0.0004,1219.96,0.0003,-0.29
108,KOREA DP RP,252.65,0.0001,1371.74,0.0004,442.94
109,KOREA RP,6034956.81,1.9177,5327534.58,1.4711,-11.72
110,KUWAIT,926387.69,0.2944,1255482.91,0.3467,35.52
111,KYRGHYZSTAN,24514.12,0.0078,42211.78,0.0117,72.19
112,LAO PD RP,10910.88,0.0035,13660.06,0.0038,25.2
113,LATVIA,98953.03,0.0314,151126.24,0.0417,52.73
114,LEBANON,233794.5,0.0743,322899.86,0.0892,38.11
115,LESOTHO,8156.82,0.0026,11931.34,0.0033,46.27
116,LIBERIA,184385.38,0.0586,208198.54,0.0575,12.91
117,LIBYA,178919.28,0.0569,272968.23,0.0754,52.57
118,LIECHTENSTEIN,1457.72,0.0005,241.91,0.0001,-83.4
119,LITHUANIA,247049.71,0.0785,284907.54,0.0787,15.32
120,LUXEMBOURG,10855.92,0.0034,33486.18,0.0092,208.46
121,MACAO,8938.21,0.0028,3520.7,0.001,-60.61
122,MACEDONIA,22791.53,0.0072,22488.09,0.0062,-1.33
123,MADAGASCAR,262009.77,0.0833,425495.22,0.1175,62.4
124,MALAWI,112158.14,0.0356,92276.15,0.0255,-17.73
