S.No.,HSCode,Commodity,2021-2022,2022-2023,%Growth
50,52,COTTON.,8532.32,7114.14,-16.62
51,53,OTHER VEGETABLE TEXTILE FIBRES; PAPER YARN AND WOVEN FABRICS OF PAPER YARN.,38424.38,23388.97,-39.13
52,54,MAN-MADE FILAMENTS.,12628.45,11705.34,-7.31
53,55,MAN-MADE STAPLE FIBRES.,3035.56,6819.72,124.66
54,56,"WADDING, FELT AND NONWOVENS; SPACIAL YARNS; TWINE, CORDAGE, ROPES AND CABLES AND ARTICLES THEREOF.",12376.47,14681.12,18.62
55,57,CARPETS AND OTHER TEXTILE FLOOR COVERINGS.,37094.94,34192.6,-7.82
56,58,SPECIAL WOVEN FABRICS; TUFTED TEXTILE FABRICS; LACE; TAPESTRIES; TRIMMINGS; EMBROIDERY.,1100.33,1150.88,4.59
57,59,"IMPREGNATED, COATED, COVERED OR LAMINATED TEXTILE FABRICS; TEXTILE ARTICLES OF A KIND SUITABLE FOR INDUSTRIAL USE.",1291.06,869.23,-32.67
58,60,KNITTED OR CROCHETED FABRICS.,548.13,568.86,3.78
59,61,"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, KNITTED OR CORCHETED.",215636.77,260676.48,20.89
60,62,"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, NOT KNITTED OR CROCHETED.",193346.54,244396.55,26.4
61,63,OTHER MADE UP TEXTILE ARTICLES; SETS; WORN CLOTHING AND WORN TEXTILE ARTICLES; RAGS,124138.48,118347.84,-4.66
62,64,"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES.",71241.73,88911.57,24.8
63,65,HEADGEAR AND PARTS THEREOF.,2407.81,3464.44,43.88
64,66,"UMBRELLAS, SUN UMBRELLAS, WALKING-STICKS, SEAT-STICKS, WHIPS,RIDING-CROPS AND PARTS THEREOF.",4.76,2.67,-43.98
65,67,PREPARED FEATHERS AND DOWN AND ARTICLES MADE OF FEATHERS OR OF DOWN; ARTIFICIAL FLOWERS; ARTICLES OF HUMAN HAIR.,675.76,743.06,9.96
66,68,"ARTICLES OF STONE, PLASTER, CEMENT, ASBESTOS, MICA OR SIMILAR MATERIALS.",27019.3,26200.12,-3.03
67,69,CERAMIC PRODUCTS.,9219.89,12400.79,34.5
68,70,GLASS AND GLASSWARE.,12582.34,10870.14,-13.61
69,71,"NATURAL OR CULTURED PEARLS,PRECIOUS OR SEMIPRECIOUS STONES,PRE.METALS,CLAD WITH PRE.METAL AND ARTCLS THEREOF;IMIT.JEWLRY;COIN.",13825.15,33829.71,144.7
70,72,IRON AND STEEL,268900.54,277346.58,3.14
71,73,ARTICLES OF IRON OR STEEL,223314.86,238049.73,6.6
72,74,COPPER AND ARTICLES THEREOF.,8377.54,9984.51,19.18
73,75,NICKEL AND ARTICLES THEREOF.,1781.78,33653.59,1788.76
74,76,ALUMINIUM AND ARTICLES THEREOF.,325044.14,682455.72,109.96
75,78,LEAD AND ARTICLES THEREOF.,147.88,54.16,-63.38
76,79,ZINC AND ARTICLES THEREOF.,7564.04,22238.32,194
77,80,TIN AND ARTICLES THEREOF.,5.1,3.88,-23.85
78,81,OTHER BASE METALS; CERMETS; ARTICLES THEREOF.,3751.57,3153,-15.96
79,82,"TOOLS IMPLEMENTS, CUTLERY, SPOONS AND FORKS, OF BASE METAL; PARTS THEREOF OF BASE METAL.",46665.97,66860.7,43.28
80,83,MISCELLANEOUS ARTICLES OF BASE METAL.,22453.4,15875.32,-29.3
81,84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICAL APPLIANCES; PARTS THEREOF.",219201.68,327669.57,49.48
82,85,"ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THEREOF; SOUND RECORDERS AND REPRODUCERS, TELEVISION IMAGE AND SOUND RECORDERS AND REPRODUCERS,AND PARTS.",624853.98,1384292.53,121.54
83,86,"RAILWAY OR TRAMWAY LOCOMOTIVES, ROLLING-STOCK AND PARTS THEREOF; RAILWAY OR TRAMWAY TRACK FIXTURES AND FITTINGS AND PARTS THEREOF; MECHANICAL",808.63,627.51,-22.4
84,87,"VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STOCK, AND PARTS AND ACCESSORIES THEREOF.",102236.48,182956.48,78.95
85,88,"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",3311.69,4757.11,43.65
86,89,"SHIPS, BOATS AND FLOATING STRUCTURES.",21710.84,78.04,-99.64
87,90,"OPTICAL, PHOTOGRAPHIC CINEMATOGRAPHIC MEASURING, CHECKING PRECISION, MEDICAL OR SURGICAL INST. AND APPARATUS PARTS AND ACCESSORIES THEREOF;",72449.77,88197.4,21.74
88,91,CLOCKS AND WATCHES AND PARTS THEREOF.,550.16,502.35,-8.69
89,92,MUSICAL INSTRUMENTS; PARTS AND ACCESSORIES OF SUCH ARTICLES.,163.88,176.4,7.64
90,93,ARMS AND AMMUNITION; PARTS AND ACCESSORIES THEREOF.,,0.09,
91,94,"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS, CUSHIONS AND SIMILAR STUFFED FURNISHING; LAMPS AND LIGHTING FITTINGS NOT ELSEWHERE SPECIFIED OR INC",138587.04,105547.72,-23.84
92,95,"TOYS, GAMES AND SPORTS REQUISITES; PARTS AND ACCESSORIES THEREOF.",12079.93,17151.17,41.98
93,96,MISCELLANEOUS MANUFACTURED ARTICLES.,16435.77,18062.72,9.9
94,97,WORKS OF ART COLLECTORS' PIECES AND ANTIQUES.,248.43,290.52,16.94
95,98,PROJECT GOODS; SOME SPECIAL USES.,111.31,20.3,-81.76
96,99,MISCELLANEOUS GOODS.,2.53,26.71,953.86
