S.No.,HSCode,Commodity,2021-2022,2022-2023,%Growth
51,53,OTHER VEGETABLE TEXTILE FIBRES; PAPER YARN AND WOVEN FABRICS OF PAPER YARN.,6198.43,4862.28,-21.56
52,54,MAN-MADE FILAMENTS.,17665.47,30145.46,70.65
53,55,MAN-MADE STAPLE FIBRES.,16940.08,21373.73,26.17
54,56,"WADDING, FELT AND NONWOVENS; SPACIAL YARNS; TWINE, CORDAGE, ROPES AND CABLES AND ARTICLES THEREOF.",2846.64,4697.01,65
55,57,CARPETS AND OTHER TEXTILE FLOOR COVERINGS.,7712.94,9323.72,20.88
56,58,SPECIAL WOVEN FABRICS; TUFTED TEXTILE FABRICS; LACE; TAPESTRIES; TRIMMINGS; EMBROIDERY.,2983.24,4577.19,53.43
57,59,"IMPREGNATED, COATED, COVERED OR LAMINATED TEXTILE FABRICS; TEXTILE ARTICLES OF A KIND SUITABLE FOR INDUSTRIAL USE.",7390.89,6891.67,-6.75
58,60,KNITTED OR CROCHETED FABRICS.,671.47,546.47,-18.62
59,61,"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, KNITTED OR CORCHETED.",171469.65,194730.47,13.57
60,62,"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, NOT KNITTED OR CROCHETED.",113098.06,137876.5,21.91
61,63,OTHER MADE UP TEXTILE ARTICLES; SETS; WORN CLOTHING AND WORN TEXTILE ARTICLES; RAGS,26242.39,31559.56,20.26
62,64,"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES.",17937.73,31405.06,75.08
63,65,HEADGEAR AND PARTS THEREOF.,742.32,1351.91,82.12
64,66,"UMBRELLAS, SUN UMBRELLAS, WALKING-STICKS, SEAT-STICKS, WHIPS,RIDING-CROPS AND PARTS THEREOF.",0.46,15.73,3312.28
65,67,PREPARED FEATHERS AND DOWN AND ARTICLES MADE OF FEATHERS OR OF DOWN; ARTIFICIAL FLOWERS; ARTICLES OF HUMAN HAIR.,222.23,19.7,-91.13
66,68,"ARTICLES OF STONE, PLASTER, CEMENT, ASBESTOS, MICA OR SIMILAR MATERIALS.",25530.08,41352.16,61.97
67,69,CERAMIC PRODUCTS.,108091.6,110256.96,2
68,70,GLASS AND GLASSWARE.,8651.79,10681.92,23.46
69,71,"NATURAL OR CULTURED PEARLS,PRECIOUS OR SEMIPRECIOUS STONES,PRE.METALS,CLAD WITH PRE.METAL AND ARTCLS THEREOF;IMIT.JEWLRY;COIN.",54540.3,60569.99,11.06
70,72,IRON AND STEEL,207716.54,202654.63,-2.44
71,73,ARTICLES OF IRON OR STEEL,152920.73,237773.29,55.49
72,74,COPPER AND ARTICLES THEREOF.,31940.68,222485.47,596.56
73,75,NICKEL AND ARTICLES THEREOF.,2985.22,6307.34,111.29
74,76,ALUMINIUM AND ARTICLES THEREOF.,69781.27,131873.67,88.98
75,78,LEAD AND ARTICLES THEREOF.,314.97,119.63,-62.02
76,79,ZINC AND ARTICLES THEREOF.,31665.43,59308.41,87.3
77,80,TIN AND ARTICLES THEREOF.,1212.74,2115.33,74.43
78,81,OTHER BASE METALS; CERMETS; ARTICLES THEREOF.,125.32,211.67,68.9
79,82,"TOOLS IMPLEMENTS, CUTLERY, SPOONS AND FORKS, OF BASE METAL; PARTS THEREOF OF BASE METAL.",7264.69,9639.36,32.69
80,83,MISCELLANEOUS ARTICLES OF BASE METAL.,12297.22,16744.41,36.16
81,84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICAL APPLIANCES; PARTS THEREOF.",301626.09,462285.92,53.26
82,85,"ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THEREOF; SOUND RECORDERS AND REPRODUCERS, TELEVISION IMAGE AND SOUND RECORDERS AND REPRODUCERS,AND PARTS.",174905.65,480065.44,174.47
83,86,"RAILWAY OR TRAMWAY LOCOMOTIVES, ROLLING-STOCK AND PARTS THEREOF; RAILWAY OR TRAMWAY TRACK FIXTURES AND FITTINGS AND PARTS THEREOF; MECHANICAL",346.2,4693.73,1255.79
84,87,"VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STOCK, AND PARTS AND ACCESSORIES THEREOF.",441952.01,843552.84,90.87
85,88,"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",187.46,1314.59,601.27
86,89,"SHIPS, BOATS AND FLOATING STRUCTURES.",1918.67,40147.64,1992.47
87,90,"OPTICAL, PHOTOGRAPHIC CINEMATOGRAPHIC MEASURING, CHECKING PRECISION, MEDICAL OR SURGICAL INST. AND APPARATUS PARTS AND ACCESSORIES THEREOF;",18973.49,28230.38,48.79
88,91,CLOCKS AND WATCHES AND PARTS THEREOF.,403.88,511.52,26.65
89,92,MUSICAL INSTRUMENTS; PARTS AND ACCESSORIES OF SUCH ARTICLES.,50.76,60.04,18.29
90,93,ARMS AND AMMUNITION; PARTS AND ACCESSORIES THEREOF.,45.35,1.37,-96.97
91,94,"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS, CUSHIONS AND SIMILAR STUFFED FURNISHING; LAMPS AND LIGHTING FITTINGS NOT ELSEWHERE SPECIFIED OR INC",31359.07,44774.11,42.78
92,95,"TOYS, GAMES AND SPORTS REQUISITES; PARTS AND ACCESSORIES THEREOF.",1783.06,2329.84,30.67
93,96,MISCELLANEOUS MANUFACTURED ARTICLES.,4587.87,10886.85,137.3
94,97,WORKS OF ART COLLECTORS' PIECES AND ANTIQUES.,88.19,52.92,-40
95,98,PROJECT GOODS; SOME SPECIAL USES.,70.22,172.68,145.9
96,99,MISCELLANEOUS GOODS.,0.91,1.97,117.26

